Region (Bhf);Techn. Platz (Bhf);Bezeichnung (Bhf);Bezeichn. TP (EQ);Equipment (EQ);Bezeichnung (EQ);Postleitzahl (EQ);Ort (Bhf);Standort EQ;Hersteller (EQ);Baujahr (EQ);Klassenbezeichnung;ANTRIEBSART;ANZAHL_HALTESTELLEN;ANZAHL_TUEREN_KABINE;ANZAHL_TUEREN_SCHACHT;FOERDERGESCHWINDIGKEIT;FOERDERHOEHE;LAGE;TRAGKRAFT;ERWEITERTE_ORTSANGABE;MIN_TUERBREITE;KABINENTIEFE;KABINENBREITE;KABINENHOEHE;AUSFTEXTLICHEBESCHREIBUNG;TUERHOHE;FABRIKNUMMER;TUERART;GEOKOORDINATERECHTSWERTNEU;GEOKOORDINATEHOCHWERTNEU;NAMEGEMAESSWEGELEITSYSTEM;VERKEHRENDEVERKEHRSMITTEL
;03903;Mainz-Gustavsburg;Bahnsteig Gleis 2/3;10500807;HA MZ 59 Aufzug Bstg. 2/3;65462;Ginsheim-Gustavsburg;PERSONENAUFZUG HA MZ 59;Schindler;2015;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,03;AUßEN;1050,0;;900,0;2100,0;1100,0;2100,0;zu Gleis 2/3;2100,0;10865990;;8,31345;49,9942;;
;;;Hausbahnsteig Gl. 1;10500806;HA MZ 58 Aufzug Hausbahnsteig Bstg. 1;65462;Ginsheim-Gustavsburg;PERSONENAUFZUG HA MZ 58;Schindler;2015;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,03;AUßEN;1050,0;;900,0;2100,0;1100,0;2100,0;zu Gleis 1;2100,0;10865989;;8,31345;49,99434;;
;03943;Marburg (Lahn);Bahnsteig 01 / (Gleis 1 / 1a);10479590;Personenaufzüg HA 420;35037;Marburg;GLEIS 1;Thyssen Krupp;2013;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;;AUßEN;1050,0;;;;;;zu Gleis 1/1a;;;;8,7747161;50,8191208;;
;;;Bahnsteig 02 / (Gleis 2/4);10489177;Personenaufzug HA 421;35037;Marburg;GLEIS 2/4;Thyssen Krupp;2014;Personenaufzüge;SEIL;2,0;;;;;;;;;;;;zu Gleis 2/4;;;;8,774993;50,8191885;;
;;;Bahnsteig 03 / (Gleis 5/8);10479589;Personenaufzug HA 422;35037;Marburg;GLEIS 5/8;Thyssen Krupp;2014;Personenaufzüge;SEIL;2,0;2,0;2,0;;;;;;;;;;zu Gleis 5/8;;;;8,775173;50,8192508;;
;04174;Mörfelden;Bahnsteig 2, Gleis 2/3;10446724;Aufzug HA 450 Gleis 2/3;64546;Mörfelden - Walldorf;AUFZUG HA 450 GLEIS 2/3;Thyssen Krupp;2008;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;5,0;;1050,0;;;;;;zu Gleis 2/3;;;;8,5660032;49,9799931;;
;04210;Mühlheim (Main);Personenunterführung;10463628;Personen HA 248  46101-001;63165;Mühlheim (Main);BSTG 2/3;Thyssen Krupp;2012;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,0;;630,0;;;;;;zu Gleis 1/2 (S-Bahn);;;;8,8377798;50,1191677;;
;;;;10463629;Personen HA 249  46101-002;63165;Mühlheim (Main);VORPLATZ / BSTG. 1;Thyssen Krupp;2012;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;7,0;;675,0;;;;;;von EG zu Tunnel;;;;8,8377715;50,1194644;;
;04321;Neckarsteinach;Bahnsteig 01;10262317;PAufzug_Thyssen 23 13 22 087_Bstg.1;69239;Neckarsteinach;BAHNSTEIG 1;Thyssen Krupp;2003;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,212000000000001;AUSSEN;1050,0;BAHNSTEIG 1;;;;;zu Gleis 1;;231322087;;8,841562;49,4045341;;
;04351;Neu Isenburg;Personenunterführung;10045563;Personenaufzug  HA 254   46101-001;63263;Neu Isenburg;S-BAHN-BSTG.;Paul Schmidt;1997;Personenaufzüge;HYDRAULISCH;2,0;2,0;1,0;0,6;4,0;;630,0;;;;;;zu Gleis 1;;;;8,665822086;50,05314482;;
;04471;Nidda;Bahnsteig Gl. 1;10420552;Personenaufzug HA 350;63667;Nidda;GLEIS 1;Thyssen Krupp;2009;Personenaufzüge;SEIL;2,0;2,0;;;3,0;;1050,0;;;;;;zu Gleis 1;;;;8,999361;50,4110917;;
;;;Bahnsteig Gl. 2/4;10420553;Personenaufzug HA 351;63667;Nidda;GLEIS 2/4;Thyssen Krupp;2009;Personenaufzüge;SEIL;2,0;2,0;;;4,0;;1050,0;;;;;;zu Gleis 2/4;;;;8,9991541;50,4111467;;
;;;Bahnsteig Gl. 5/7;10420554;Personenaufzug HA 352;63667;Nidda;GLEIS 5/7;Thyssen Krupp;2009;Personenaufzüge;SEIL;2,0;2,0;;;4,0;;1050,0;;;;;;zu Gleis 5/7;;;;8,9990006;50,4112499;;
;04502;Niederjosbach;Gleis 1;10455771;Personenaufzug_HA 340_46101-001;65817;Eppstein;HA 0032 - S_BAHNSTEIG;OTIS GmbH & Co. OHG;2011;Personenaufzüge;SEIL;2,0;2,0;2,0;;5,0;1070;;;;;;;zu Gleis 1;;;;8,3507458;50,1499609;;
;04513;Niedernhausen (Taunus);Bahnsteig 1;10554933;Aufzug Bstg. 1;65527;Niedernhausen;; ;2019;Personenaufzüge;SEIL;;;;;;;;;;;;;;;;;;;;
;;;Bahnsteig 2, Gleis 3/4;10554934;Aufzug Bstg. 2;65527;Niedernhausen;; ;2019;Personenaufzüge;SEIL;;;;;;;;;;;;;;;;;;;;
;;;Bahnsteig 3, Gleis 5/6;10554935;Aufzug Bstg. 3;65527;Niedernhausen;; ;2019;Personenaufzüge;SEIL;;;;;;;;;;;;;;;;;;;;
;04615;Rödermark-Ober Roden;Bahnsteig 2;10335561;Aufzug Gl. 2 HA 325;63322;Ober Roden / Rödermark;;Rieser Aufzugsbau GmbH;2002;Personenaufzüge;HYDRAULISCH;2,0;2,0;1,0;1,0;4,020000000000001;BHST.01;;;;;;;zu Gleis 2;;;;8,829108164;49,9733403;;
;;;Bahnsteig 3, Gleis 3/4;10335559;Aufzug  GL. 3/4 HA 326;63322;Ober Roden / Rödermark;HA 328;Rieser Aufzugsbau GmbH;2002;Personenaufzüge;HYDRAULISCH;2,0;1,0;2,0;1,0;4,020000000000001;BHST.2;;;;;;;zu Gleis 3/4;;;;8,8288687;49,9732856;;
;04702;Oberursel (Taunus);Bahnsteig   Gleis 2/3;10453073;Personenaufzug_HA 262_46101-001;61440;Oberursel (Taunus);ZUM BSTG. 2/3;Thyssen Krupp;2011;Personenaufzüge;SEIL;2,0;2,0;;;5,0;;1050,0;;;;;;zu Gleis 2/3;;;;8,588644033;50,19908924;;
;04703;Vellmar-Obervellmar;BSTG 2, Gl. Ri. Kassel;10465928;Personenaufzug #25;34246;Vellmar;BSTG RI. KASSEL;Thyssen Krupp;2012;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;8,908000000000001;;1000,0;MITTELBAHNSTEIG;;;;;zu Gleis 2/3;;283111017;;9,4526697;51,3594382;;
;04743;Offenbach (Main) Ost;Bahnsteig Gleis 1;10463635;Personenaufzug_HA 246_46101-001;63075;Offenbach (Main);AUßENBAHNSTEIG (GL 1);Thyssen Krupp;2012;Personenaufzüge;SEIL;2,0;2,0;2,0;;7,0;;675,0;;;;;;zu Gleis 1;;;;8,7840885;50,1025018;;
;;;Bahnsteig Gleis 2/3;10469255;Personenaufzug   HA 247    46101;63075;Offenbach (Main);BSTG. 2/3;Thyssen Krupp;2012;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;7,0;;675,0;;;;;;zu Gleis 2/3;;;;8,7840913;50,1026867;;
;05147;Raunheim;Bahnsteig 1;10537015;Aufzug Bstg 1;65479;Raunheim;HAUSBAHNSTEIG; ;2018;Personenaufzüge;SEIL;;;;;;;;;;;;;;;;;;;;
;;;Bahnsteig 2/3;10537016;Aufzug Bstg. 2;65479;Raunheim;; ;2018;Personenaufzüge;SEIL;;;;;;;;;;;;;;;;;;;;
;05440;Rüsselsheim;Personentunnel;10334002;Personenaufzug_HA 334_46101-001;65428;Rüsselsheim;UF <> BSTG.1;Alois Kasper;2006;Personenaufzüge;SEIL;2,0;;;;3,86;;;;;;;;zu Gleis 1;;;;8,4131388;49,9917086;;
;;;;10444545;Personenaufzug_HA 335_46101-002;65428;Rüsselsheim;UF <> BSTG.2/3;Alois Kasper;2010;Personenaufzüge;SEIL;2,0;2,0;2,0;;;;;;;;;;zu Gleis 2/3;;;;8,4131741;49,9914569;;
;05601;Schlüchtern;Bahnsteig 01;10594271;Aufzug Bstg 1;36381;Schlüchtern;; ;2019;Personenaufzüge;SEIL;;;;;;;;;;;;;;;;;;;;
;;;Bahnsteig 02;10594272;Aufzug Bstg 2;36381;Schlüchtern;; ;2019;Personenaufzüge;SEIL;;;;;;;;;;;;;;;;;;;;
;05953;Stadtallendorf;Bahnsteig 1 / (Gleis 1/2);10437288;Personenaufzug HA 410;35260;Stadtallendorf;GLEIS 1/2;OTIS GmbH & Co. OHG;2010;Personenaufzüge;SEIL;2,0;2,0;2,0;;;;;;;;;;zu Gleis 1/2;;;;9,0147383;50,8256533;;
;05998;Steinheim/Main;Personenunterführung;10059457;Personenaufzug_HA 250_46101-001;63456;Hanau;;Paul Schmidt;1995;Personenaufzüge;HYDRAULISCH;2,0;2,0;2,0;0,5;5,76;;;;;;;;zu Gleis 1;;;;8,906926705;50,12155588;;
;06457;Wabern (Bz Kassel);BSTG 1, Gl.1;10501770;Aufzug Bstg 1;34590;Wabern;; ;2017;Personenaufzüge;SEIL;;;;;;;;;;;;;;;;;;;;
;;;BSTG 2,Gl.3/4;10501771;Aufzug Bstg 2;34590;Wabern;; ;2017;Personenaufzüge;SEIL;;;;;;;;;;;;;;;;;;;;
;;;BSTG 3,Gl.5/6;10501772;Aufzug Bstg 3;34590;Wabern;; ;2017;Personenaufzüge;SEIL;;;;;;;;;;;;;;;;;;;;
;06460;Wächtersbach;Bahnsteig 02;10489132;Personenaufzug Bstg. 2, HAF 050;63607;Wächtersbach;BSTG. 2, GL. 2/3;Thyssen Krupp;2014;Personenaufzüge;SEIL;2,0;;;;;;;;;;;;zu Gleis 2/3;;;;9,2955597;50,253765;;
;06612;Weilburg;Personenunterführung;10064618;Personenaufzug  ( Vorplatz ) HA 330;35781;Weilburg;BAHNHOFSVORPLATZ/UNTERFÜHRUNG;Paul Schmidt;1999;Personenaufzüge;HYDRAULISCH;2,0;2,0;2,0;0,6;3,69;INTEGRIERT;800,0;;;;;;von EG zu Tunnel;;;;8,2679697;50,4868396;;
;;;;10064619;Personenaufzug  ( BSTG ) HA 331;35781;Weilburg;BSTG / UNTERFÜHRUNG;Paul Schmidt;1999;Personenaufzüge;HYDRAULISCH;2,0;;;0,6;4,350000000000001;INTEGRIERT;800,0;;;;;;zu Gleis 1/2;;;;8,2680996;50,4867341;;
;06730;Wetzlar;Bahnsteig 03 Gleis 4/5;10463427;Personenaufzug HA 407;35576;Wetzlar;PERSONENAUFZUG GLEIS 4/5;Thyssen Krupp;2012;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;5,0;;1050,0;;;;;;zu Gleis 4/5;;;;8,5039906;50,5655992;;
;;;Bahnsteig 04 Gleis 6/7;10463426;Personenaufzug HA 408;35576;Wetzlar;PERSONENAUFZUG GLEIS 6/7;Thyssen Krupp;2012;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;5,0;;1050,0;;;;;;zu Gleis 6/7;;;;8,5039906;50,5657382;;
;06838;Witzenhausen Nord;Bahnsteig Gleis 1;10378134;Personenaufzug Bstg 1 zur PU AMP;37213;Witzenhausen;BAHNSTEIG GLEIS 1;OTIS GmbH & Co. OHG;2008;Personenaufzüge;SEIL;2,0;1,0;1,0;1,0;4,43;;1025,0;;1000,0;2200,0;1100,0;2200,0;zu Gleis 1;2100,0;;;9,8627452;51,3515225;;
;;;Bahnsteig Gleis 2;10378135;Personenaufzug Bstg 2 zur PU AMP;37213;Witzenhausen;BAHNSTEIG GLEIS 2;OTIS GmbH & Co. OHG;2008;Personenaufzüge;SEIL;2,0;1,0;1,0;1,0;4,43;;1025,0;;1000,0;2200,0;1100,0;2200,0;zu Gleis 2;2100,0;;;9,8627081;51,3517064;;
;07075;Zwingenberg (Bergstr);Bahnsteig 1;10502043;Aufzug Bstg 1;64673;Zwingenberg;BAHNSTEIG 1;Schindler;2017;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,810000000000001;;1050,0;GLEIS 1;;;;;zu Gleis 1;;10892212;;8,609040731;49,72596873;;
;;;Bahnsteig 2;10502044;Aufzug Bstg 2;64673;Zwingenberg;BAHNSTEIG 2;Schindler;2017;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,7;;1050,0;GLEIS 2;;;;;zu Gleis 2;;10892213;;8,608785921;49,72592459;;
;07169;Offenbach-Kaiserlei;S-Bahnsteig;10463634;Personenaufzug_HA 241_46101-001;63065;Offenbach (Main);OST A<>B;ThyssenKrupp Aufzüge GmbH;2011;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;11,57;;675,0;OSTFLÜGEL - A-C-EBENE;;;;;zu Gleis 1/2 (S-Bahn);;283011077;;8,73984;50,105288;;
;07170;Offenbach Ledermuseum;S-Bahnsteig;10463632;Personenaufzug_HA 252_46101-001;63065;Offenbach (Main);OST A<>B;Thyssen Krupp;2012;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;5,0;NEBEN;675,0;;;;;;zu Gleis 1/2 (S-Bahn);;;;8,7485095;50,1058686;;
;;;;10463633;Personenaufzug_HA 242_46101-002;63065;Offenbach (Main);OST B<>C;Thyssen Krupp;2012;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;5,0;;675,0;;;;;;zu Gleis 1/2 (S-Bahn);;;;8,7479218;50,1057245;;
;07171;Offenbach Marktplatz;B-Ebene;10463631;Personenaufzug_HA 245_46101-001;63065;Offenbach (Main);OST A<>B;Thyssen Krupp;2012;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;6,0;;675,0;;;;;;zu Gleis 1/2 (S-Bahn);;;;8,765317674;50,10531354;;
;;;S-Bahnsteig;10463630;Personenaufzug HA 244  46201-002;63065;Offenbach (Main);OST B<>C;Thyssen Krupp;2012;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;6,0;;675,0;;;;;;zu Gleis 1/2 (S-Bahn);;;;8,7651939;50,1055278;;
;07177;Bürstadt (Ried);Bahnsteig 1;10507311;Aufzug Bstg. 1;68642;Bürstadt;; ;2019;Personenaufzüge;SEIL;;;;;;;;;;;;;;;;;;;;
;;;Bahnsteig 2;10507312;Aufzug Bstg. 2;68642;Bürstadt;; ;2019;Personenaufzüge;SEIL;;;;;;;;;;;;;;;;;;;;
;07968;Gießen Oswaldsgarten;Bahnsteig 1;10119158;Personenaufzug HA 332;35390;Gießen;GLEIS 1;ThyssenKrupp Aufzüge GmbH;2004;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;6,28;;1050,0;;;;;;zu Gleis 1;;;;8,6686068;50,5878059;;
;;;Bahnsteig 2;10197053;Personenaufzug HA 333;35390;Gießen;GLEIS 2;Thyssen Krupp;2004;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;6,28;;1050,0;;;;;;zu Gleis 2;;;;8,6688393;50,5877115;;
;07980;Frankfurt am Main Messe;S-Bahnsteige;10122848;+++INAK+++     Aufzug HA 298   46101-001;60326;Frankfurt am Main;SCHRÄGAUFZUG;Telefuni;1999;Personenaufzüge;SEIL;2,0;1,0;2,0;0,63;7,2;;630,0;;;;;;;;;;;;;
;;;;10348352;Personenaufzug_HA 299_46101-003;60326;Frankfurt am Main;TREPPENTURM - NORD;Mayland-Aufzüge e.Kfm.;2006;Personenaufzüge;SEIL;2,0;;;;10,0;;1050,0;;;;;;zu Gleis 1/2 (S-Bahn);;;;8,6434903;50,1122675;;
;;;Zugangsbereich;10122847;Personenaufzug HA 297  46101-002;60326;Frankfurt am Main;BSTG !! SIEHE VERTRAG INST !!;Schmitt + Sohn;1996;Personenaufzüge;HYDRAULISCH;2,0;1,0;2,0;1,0;9,279999999999999;;1100,0;;;;;;von EG zu Brücke;;;;8,6438553;50,1123976;;
;07982;Frankfurt am Main Flughafen Fernbahnhof;Maschinen;10179981;Personenaufzug (2)_HA 176_46101;60549;Frankfurt am Main;BTG.6/7 RICHTUNG FFM 47NK6857;OTIS GmbH & Co. OHG;1999;Personenaufzüge;SEIL;4,0;2,0;4,0;1,6;16,800000000000001;BAHNSTEIG GLEIS 6/7 RI  FFM;2400,0;;;;;;zu Gleis 6/7;;;;8,5703862;50,0531232;;
;;;;10180977;Personenaufzug (4)_HA 178_46101;60549;Frankfurt am Main;BSTG.4/5 RICHTUNG FFM 47NK6859;OTIS GmbH & Co. OHG;1999;Personenaufzüge;SEIL;4,0;2,0;4,0;1,6;18,600000000000001;BAHNSTEIG GLEIS 4/5 RI FFM;2400,0;;;;;;zu Gleis 4/5;;;;8,5704655;50,0529397;;
;;;Technikraum;10179977;Personenaufzug (1)_HA 175_46101;60549;Frankfurt am Main;BSTG. 6/7 RICHTUNG MZ 47NK6856;OTIS GmbH & Co. OHG;1999;Personenaufzüge;SEIL;4,0;2,0;4,0;1,6;16,800000000000001;BAHNSTEIG GLEIS 6/7 RI. MAINZ;2400,0;;;;;;zu Gleis 6/7;;;;8,5693295;50,05292;;
;;;;10180976;Personenaufzug (3)_HA 177_46101;60549;Frankfurt am Main;BSTG. 4/5 RICHTUNG MZ 47NK6858;OTIS GmbH & Co. OHG;1999;Personenaufzüge;SEIL;4,0;2,0;4,0;1,6;16,800000000000001;BAHNSTEIG GLEIS 4/5 RI MAINZ;2400,0;;;;;;zu Gleis 4/5;;;;8,5694147;50,0527396;;
;08134;Vellmar-Osterberg/EKZ;Bahnsteig 02  Ri Obervellmar;10413505;Personenaufzug BSTG Gl 2;34246;Vellmar;PERSONENAUFZUG GLEIS 2;OTIS GmbH & Co. OHG;2008;Personenaufzüge;SEIL;2,0;1,0;1,0;1,0;0,0;0;1000,0;;;;;;zu Gleis 2;;;;9,460283905;51,35466249;;
;08135;Kassel-Kirchditmold;Bahnsteig 2;10414863;Personenaufzug BSTG 2;34130;Kassel;PERSONENAUFZUG GLEIS 2;OTIS GmbH & Co. OHG;2008;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;;;1000,0;;;;;;zu Gleis 2;;;;9,4519747;51,324999;;
07;00133;Alzey;Bahnsteig 1;10159165;Personenaufzug, Gemeinde;55232;Alzey;; ;2002;Personenaufzüge;HYDRAULISCH;2,0;;;;;;;;;;;;zu Gleis 1;;;;8,1102759;49,7505107;;
;;;Bahnsteig 2;10159182;Personenaufzug, Gemeinde;55232;Alzey;; ;2002;Personenaufzüge;HYDRAULISCH;2,0;1,0;2,0;;5,0;;;;;;;;zu Gleis 2/3;;;;8,1101531;49,750566;;
;00144;Andernach;Hausbahnsteig (Gleis 1);10453206;Personenaufzug_HA 25 Gleis 1;56626;Andernach;BAHNSTEIG 1;Thyssen Krupp;2011;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;3,72;AUßEN;1050,0;;;;;;zu Gleis 1;;;;7,4042739;50,4346823;;
;;;Mittelbahnsteig (Gleis 2-3 und 24);10453207;Personenaufzug _HA 0026;56626;Andernach;BAHNSTEIG 2/3;Thyssen Krupp;2011;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;3,73;AUßEN;1050,0;;;;;;zu Gleis 2/3/24;;;;7,4043417;50,4347721;;
;00240;Bacharach;Bahnsteig 1;10501083;Aufzug  (HA MZ 02 Bstg 1);55422;Bacharach;AUFZUG BSTG1 HAUSBAHNSTEIG;Thyssen Krupp;2015;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;7,48;;1050,0;;;;;;zu Gleis 1;;283 013 077;;7,7696073;50,0556184;;
;;;Bahnsteig 2;10501084;Aufzug ( HA MZ 01 Gl. 2/3);55422;Bacharach;AUFZUG BSTG 2 MITTELBAHNSTEIG;Thyssen Krupp;2015;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;7,796;;1050,0;;;;;;zu Gleis 2/3;;283 013 078;;7,7698319;50,055725;;
;00271;Bad Ems;Bahnsteig 2;10143519;Personenaufzug in der PU;56130;Bad Ems;BAHNSTEIG 2;Tepper Aufzüge GmbH;2002;Personenaufzüge;SEIL;2,0;2,0;;0,8;3,74;;800,0;;;;;;zu Gleis 1/2;;22852;;7,728815954;50,3276154;;
;00296;Bad Kreuznach;Bahnsteig 1;10489235;Personenaufzug Bstg. 1  HA MZ 13;55543;Bad Kreuznach;PERSONENAUFZUG BSTG. 1;Thyssen Krupp;2013;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,155;OBEN ÜBER;1050,0;;;;;;zu Gleis 1;;;;7,86632;49,8428;;
;;;Bahnsteig 2;10489236;Personenaufzug Bstg. 2  HA 14;55543;Bad Kreuznach;PERSONENAUFZUG BSTG. 2;Thyssen Krupp;2013;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,37;OBEN ÜBER;1050,0;;;;;;zu Gleis 2/3;;;;7,86662;49,8426;;
;;;Bahnsteig 3;10489237;Personenaufzug Bstg. 3  HA 15;55543;Bad Kreuznach;PERSONENAUFZUG BSTG. 3;Thyssen Krupp;2013;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,375;OBEN ÜBER;1050,0;;;;;;zu Gleis 4/5;;;;7,86687;49,8425;;
;00597;Betzdorf (Sieg);Bahnsteig 1;10277130;Aufzug, Bstg. 1 (Fab Nr.: 23184) HA0015;57518;Betzdorf;BSTG. 1, GLEIS 101/113;Tepper Aufzüge GmbH;2003;Personenaufzüge;SEIL;2,0;2,0;2,0;0,8;3,894;;1065,0;;;;;;zu Gleis 105;;;;7,86916;50,7894;;
;;;Bahnsteig 2;10277129;Aufzug, Bstg. 2 (Fab Nr.: 23183)HA 0014;57518;Betzdorf;BAHNSTEIG 2;Tepper Aufzüge GmbH;2003;Personenaufzüge;SEIL;2,0;2,0;2,0;0,8;3,884;;1065,0;;;;;;zu Gleis 102;;;;7,86925;50,7895;;
;;;Bahnsteig 4;10277128;Aufzug, Bstg. 4 (Fab Nr.: 23182) HA 0013;57518;Betzdorf;BSTG. 4 - PARK&RIDE;Tepper Aufzüge GmbH;2003;Personenaufzüge;SEIL;2,0;2,0;2,0;0,8;3,894;;1065,0;;;;;;zu Gleis 101/113;;;;7,86946;50,7897;;
;00716;Bobenheim;"Bahnsteig 2; Gl.2/3";10505068;Aufzug Bstg.2;67240;Bobenheim;PERSONENAUFZUG HAUSBAHNSTEIG;Schindler GmbH;2015;Personenaufzüge;SEIL;2,0;2,0;2,0;;;;;;;;;;zu Gleis 2/3;;10763497;;8,3502293;49,5882485;;
;00739;Bodenheim;Bahnsteig 1 (Hausbahnsteig);10138791;Personenaufzug Gl. 1 ( HA MZ 56);55294;Bodenheim;AUFZUG BAHNSTEIG 1;Tepper;2002;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;5,0;;1000,0;;;;;;zu Gleis 1;;;;8,3124003;49,9295219;;
;;;Bahnsteig 2;10138800;Personenaufzug Gl.2/3 (HA MZ 57);55294;Bodenheim;;Tepper;2004;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;5,0;;1000,0;;;;;;zu Gleis 2/3;2100,0;23826;;8,3124731;49,9296606;;
;00964;Bullay DB;Bahnsteig Gleis 1 u.2;10264942;Personenaufzug;56859;Bullay;PERSONENAUFZUG;Tepper Aufzüge GmbH;2003;Personenaufzüge;SEIL;2,0;1,0;2,0;0,8;4,43;;850,0;;;;;;zu Gleis 1/2;;;;7,1346922;50,0538189;;
;01061;Cochem (Mosel);Hausbahnsteig Richtung Koblenz;10457003;Personenaufzug_HA 0031-Hausbahnsteig 1;56812;Cochem;; ;2011;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,47;;1050,0;;;;;;zu Gleis 1;;;;7,167036272;50,15311935;;
;;;Mittelbahnsteig Gleis 2 u. 4;10457002;Personenaufzug_HA 29 Mittelbstg. Gl. 2/4;56812;Cochem;MITTELBAHNSTEIG GLEIS 2 U. 4; ;2011;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,47;;1050,0;;;;;;von EG zu Tunnel;;;;7,166562596;50,15321389;;
;;;P&R Fläche (städtisch);10457011;Personenaufzug_HA 30 Park&Ride;56812;Cochem;P&R FLÄCHE (STÄDTISCH); ;2011;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,47;;1050,0;;;;;;zu Gleis 2/4;;;;7,166773059;50,1530917;;
;01848;Frankenthal Hbf;Bahnsteig 1  Gl. 1;10505070;Aufzug Bstg.1;67227;Frankenthal;PERSONENAUFZUG HAUSBAHNSTEIG;Schindler GmbH;2015;Personenaufzüge;SEIL;2,0;2,0;2,0;;;;;;;;;;zu Gleis 1;;10763429;;8,3498338;49,5354781;;
;;;"Bahnsteig 2; Gl.2/3";10505069;Aufzug Bstg.2     (extern Fa. Schindler);67227;Frankenthal;PERSONENAUFZUG MITTELBAHNSTEIG;Schindler GmbH;2015;Personenaufzüge;SEIL;2,0;2,0;2,0;;;;;;;;;;zu Gleis 2/3;;10763432;;8,3496301;49,5354792;;
;01907;Freinsheim;"Bahnsteig 1; Gl.1/2";10489682;Aufzug Bstg.1  ( ext. Gemeinde);67251;Freinsheim;AUFZUG PU / BAHNSTEIG; ;2000;Personenaufzüge;SEIL;2,0;4,0;4,0;;;;;;;;;;;;;;8,2050927;49,5016499;;
;;;"Bahnsteig 2; Gl.9/10";10489683;Aufzug Bstg.2 ( ext.  Gemeinde );67251;Freinsheim;AUFZUG PU / BAHNSTEIG; ;2000;Personenaufzüge;SEIL;2,0;4,0;4,0;;;;;;;;;;;;;;8,2049773;49,5016277;;
;02019;Gau Algesheim;Bahnsteig 1;10492162;Aufzug Hausbahnsteig HA MZ 19;55435;Gau Algesheim;;Schindler GmbH;2014;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,08;AUßEN;1050,0;;;;;;zu Gleis 1;;10750268;;8,0157992;49,9611598;;
;;;Bahnsteig 2;10492163;Aufzug Mittelbahnsteig HA MZ 20;55435;Gau Algesheim;;Schindler GmbH;2014;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,23;AUßEN;1050,0;;;;;;zu Gleis 3/4;;10750267;;8,0155427;49,9612896;;
;02402;Grünstadt;"Bahnsteig 1; Gl. 4";10224809;Aufzug Bstg.1 Nr.22701           HA 0065;67269;Grünstadt;PERSONENAUFZUG;Tepper Aufzüge GmbH;2001;Personenaufzüge;SEIL;2,0;2,0;2,0;0,63;3,0;BSTG ZUR PERSONENUTERFÜHRUNG;800,0;;;;;;zu Gleis 4;;;;8,167696433;49,56441421;;
;;;"Bahnsteig 2; Gl.5/7";10224810;Aufzug Bstg.2 Nr.22702           HA 0066;67269;Grünstadt;PERSONENAUFZUG;Tepper Aufzüge GmbH;2001;Personenaufzüge;SEIL;2,0;2,0;2,0;0,63;3,0;BSTG ZUR PERSONENUNTERFÜHRUNG;800,0;;;;;;zu Gleis 5/7;;;;8,167896324;49,56446461;;
;02419;Guntersblum;Bahnsteig 1;10505580;Personenaufzüge Bstg 1 (HA MZ 21);67583;Guntersblum;AUFZUG BAHNSTEIG 1;Schindler GmbH;2015;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,712000000000001;;1050,0;;1000,0;;;;zu Gleis 1;2100,0;10762723;;8,3511715;49,7914779;;
